,model,q_num,q_type,answer,correct
0,tf_distil_bert_for_question_answering,111,LR,[CLS],0
1,tf_distil_bert_for_question_answering,95,LR,,0
2,tf_distil_bert_for_question_answering,109,LR,popular belief rather than on scientific opinion,0
3,tf_distil_bert_for_question_answering,128,LR,,0
4,tf_distil_bert_for_question_answering,100,LR,[CLS],0
5,tf_distil_bert_for_question_answering,99,LR,[CLS],0
6,tf_distil_bert_for_question_answering,97,LR,"There is no way to know what made Shakespeare different from his contemporaries. B. The life of the average man in Elizabethan England is uninteresting., C. Shakespeare was very different from the other men of his time., D. A biography should always focus on what makes its subject distinctive., E. What is most interesting about Shakespeare is what made him different from his contemporaries. The conclusion of the argument can be properly drawn if which one of the following is assumed? [SEP] Critic : The recent biography of Shakespeare does not explain what is of most interest about him. It is by an expert on the history of Elizabethan England, and so does a good job of showing what life would have been like for Shakespeare as a man of that time. But it does not explain what made Shakespeare different from his contemporaries",0
7,tf_distil_bert_for_question_answering,106,LR,"Evidently, watching too much television",0
8,tf_distil_bert_for_question_answering,92,LR,,0
9,tf_distil_bert_for_question_answering,129,LR,[CLS] Here are the options : A. A company whose former manager is now an official with the Department of Natural Resources was one of several bidders for an extremely lucrative contract with the department ; the names of the bidders were not disclosed to the public,0
10,tf_distil_bert_for_question_answering,46,LR,[CLS],0
11,tf_distil_bert_for_question_answering,26,LR,an advertisement's only purpose is to convey its message,0
12,tf_distil_bert_for_question_answering,35,LR,reasonable accuracy,0
13,tf_distil_bert_for_question_answering,94,LR,Margaret : A primary goal of any university is to serve the needs of the community where it is located,0
14,tf_distil_bert_for_question_answering,120,LR,,0
15,tf_distil_bert_for_question_answering,72,LP,consecutive time slots,0
16,tf_distil_bert_for_question_answering,56,LP,No child owns more than one of any particular breed of dog,0
17,tf_distil_bert_for_question_answering,70,LP,,0
18,tf_distil_bert_for_question_answering,89,LP,,0
19,tf_distil_bert_for_question_answering,61,LP,[CLS],0
20,tf_distil_bert_for_question_answering,60,LP,[CLS],0
21,tf_distil_bert_for_question_answering,58,LP,[CLS],0
22,tf_distil_bert_for_question_answering,67,LP,[CLS],0
23,tf_distil_bert_for_question_answering,53,LP,,0
24,tf_distil_bert_for_question_answering,90,LP,one at a time and in order,0
25,tf_distil_bert_for_question_answering,23,LP,"on rails and is in Howard Auditorium., D. The second lecture is on terns",0
26,tf_distil_bert_for_question_answering,3,LP,[CLS],0
27,tf_distil_bert_for_question_answering,12,LP,If Myers is on the team,0
28,tf_distil_bert_for_question_answering,55,LP,complete and accurate,0
29,tf_distil_bert_for_question_answering,81,LP,[CLS],0
tf_roberta_for_question_answering,111,LR,,0
tf_roberta_for_question_answering,95,LR,,0
tf_roberta_for_question_answering,109,LR," it is beneficial to their health.  B. It draws a comparison based on popular belief rather than on scientific opinion., C. It fails to consider metods of achieving the same beneficial effects that do not involve alcohol., D. It draws a conclusion about alcohol in general from a premise about moderate alcohol consumption., E. It fails to consider that alcohol may have no effect on many bacteria that cause",0
tf_roberta_for_question_answering,128,LR,,0
tf_roberta_for_question_answering,100,LR,,0
tf_roberta_for_question_answering,99,LR,,0
tf_roberta_for_question_answering,97,LR,,0
tf_roberta_for_question_answering,106,LR," the amount of television they watch.  B. A person is less likely to live in an area that is prone to natural disasters if that person watches an above-average amount of television than if that person watches a below-average amount of television., C. People who watch a below-average amount",0
tf_roberta_for_question_answering,92,LR,,0
tf_roberta_for_question_answering,129,LR," the names of the bidders were not disclosed to the public.  B. A retired high-ranking military officer now owns a company that contracts with the Department of Defense. He uses his contracts with the department officials to help his compnay obtain contracts. , C. After a tax reform law was enacted, an official with the government's revenue agency obtained a 20 percent reduction in personal tax income by setting up tax shelters that were allowed by the new law., D. A Finance Department officail, one of the few people who knew",0
tf_roberta_for_question_answering,46,LR,,0
tf_roberta_for_question_answering,26,LR,,0
tf_roberta_for_question_answering,35,LR," 
predict with reasonable accuracy.  B. The amount of fresh water available to meet the needs of Earth’s population varies significantly from",0
tf_roberta_for_question_answering,94,LR,,0
tf_roberta_for_question_answering,120,LR," the recommended daily intake of vitamins A and D., D. Most people who eat vitamin-fortified foods should not take any vitamin supplements., E. Manufacturers are unaware that many people consume viatmin-fortified foods in amounts greater than standard serving sizes.Which one of the following is most",0
tf_roberta_for_question_answering,72,LP,,0
tf_roberta_for_question_answering,56,LP,,0
tf_roberta_for_question_answering,70,LP," which Felix can be interviewed?</s></s>Each of six job candidates—Felix, Gilly, Harry, Inga, Jade and Kelsey—must be interviewed by one of three managers—Rob, Sarah and Todd—in consecutive time slots. No two candidates will be interviewed at the same",0
tf_roberta_for_question_answering,89,LP,"Which of the following could be true?</s></s>Seven students—K, L, M, N, O, P, and R—give presentations, one at a time",0
tf_roberta_for_question_answering,61,LP,,0
tf_roberta_for_question_answering,60,LP,,0
tf_roberta_for_question_answering,58,LP,,0
tf_roberta_for_question_answering,67,LP,": Gilly; Rob: Felix; Todd: Harry, C. Sarah: Jade; Todd: Inga; Rob: Kelsey; Rob: Felix; Todd: Harry; Sarah: Gilly, D. Sarah: Inga; Sarah: Felix; Todd: Harry; Rob: Kelsey; Sarah: Gilly; Todd: Jade, E. Todd: Kelsey; Sarah: Inga; Todd: Kelsey; Sarah: Jade; Rob: Felix; Todd: Harry Which one of the following is an acceptable matching of candidates with managers, listed from the first interview to the last",0
tf_roberta_for_question_answering,53,LP,,0
tf_roberta_for_question_answering,90,LP," the following must be false?</s></s>Seven students—K, L, M, N, O, P, and R—give presentations, one at a time",0
tf_roberta_for_question_answering,23,LP," is in Howard Audituorium., C. The second lecture is on rails and is in Howard Auditorium., D. The second lecture is on terns and is in Gladwyn Hall., E. The fourth lecture is on terns and is in Howard Auditorium.If the third lecture is on sandpipers, which one of the following could be true?</s></s>A naturalist will give give lectures, each on a different type",0
tf_roberta_for_question_answering,3,LP," Uneasy., D. Yardsign performs in an earlier slot than Wellspring., E. Zircon performs in an earlier slot than Uneasy.If Vegemite performs in slot three, which one of the following must be true?</s></s>A concert promoter is filling the six slots at a benefit concert. The slots, from",0
tf_roberta_for_question_answering,12,LP,,0
